"location","time","solar","power","surplus","demand","insolation","temperature","count_solar","count_power","count_surplus"
valor00001,1626715800000,,0,0,,,,,17,17
valor00001,1626717600000,,0,0,,,,,30,30
valor00001,1626719400000,,0,0,,,,,30,30
valor00001,1626721200000,,0,0,,,,,30,30
valor00001,1626723000000,,0,0,,,,,30,30
valor00001,1626724800000,,0,0,,,,,30,30
valor00001,1626726600000,,0,0,,,,,30,30
valor00001,1626728400000,,0,0,,,,,30,30
valor00001,1626730200000,,0,0,,,,,30,30
valor00001,1626732000000,,0,0,,,,,30,30
valor00001,1626733800000,,0,0,,,,,30,30
valor00001,1626735600000,,0,0,,,,,30,30
valor00001,1626737400000,,0,0,,,,,30,30
valor00001,1626739200000,,0,0,,,,,30,30
valor00001,1626741000000,,0,0,,,,,30,30
valor00001,1626742800000,,0,0,,,,,30,30
valor00001,1626744600000,,0,0,,,,,30,30
valor00001,1626746400000,,0,0,,,,,30,30
valor00001,1626748200000,,0,0,,,,,30,30
valor00001,1626750000000,,0,0,,,,,30,30
valor00001,1626751800000,,0,0,,,,,30,30
valor00001,1626753600000,,0,0,,,,,30,30
valor00001,1626755400000,,0,0,,,,,30,30
valor00001,1626757200000,,0,0,,,,,30,30
valor00001,1626759000000,,0,0,,,,,30,30
valor00001,1626760800000,,0,0,,,,,30,30
valor00001,1626762600000,,0,0,,,,,30,30
valor00001,1626764400000,,0,0,,,,,30,30
valor00001,1626766200000,,0,0,,,,,30,30
valor00001,1626768000000,,0,0,,,,,30,30
valor00001,1626769800000,,0,0,,,,,30,30
valor00001,1626771600000,,0,0,,,,,30,30
valor00001,1626773400000,,0,0,,,,,30,30
valor00001,1626775200000,,0,0,,,,,30,30
valor00001,1626777000000,,0,0,,,,,30,30
valor00001,1626778800000,,0,0,,,,,30,30
valor00001,1626780600000,,0,0,,,,,30,30
valor00001,1626782400000,,0,0,,,,,30,30
valor00001,1626784200000,,0,0,,,,,30,30
valor00001,1626786000000,,0,0,,,,,30,30
valor00001,1626787800000,,0,0,,,,,30,30
valor00001,1626789600000,,0,0,,,,,30,30
valor00001,1626791400000,,0,0,,,,,30,30
valor00001,1626793200000,,0,0,,,,,30,30
valor00001,1626795000000,,0,0,,,,,30,30
valor00001,1626796800000,,0,0,,,,,30,30
valor00001,1626798600000,,0,0,,,,,30,30
valor00001,1626800400000,,0,0,,,,,30,30
valor00001,1626802200000,,0,0,,,,,30,30
valor00001,1626804000000,,0,0,,,,,30,30
valor00001,1626805800000,,0,0,,,,,30,30
