"time","datetime","location","element","temperature(℃)"
1648155600000,2022-03-27T00:00:00+09:00,valor00001,temperature,14.01
1648155600000,2022-03-27T00:30:00+09:00,valor00001,temperature,13.8
1648155600000,2022-03-27T01:00:00+09:00,valor00001,temperature,13.6
1648155600000,2022-03-27T01:30:00+09:00,valor00001,temperature,13.49
1648155600000,2022-03-27T02:00:00+09:00,valor00001,temperature,13.38
1648155600000,2022-03-27T02:30:00+09:00,valor00001,temperature,12.87
1648155600000,2022-03-27T03:00:00+09:00,valor00001,temperature,12.35
1648155600000,2022-03-27T03:30:00+09:00,valor00001,temperature,11.8
1648155600000,2022-03-27T04:00:00+09:00,valor00001,temperature,11.25
1648155600000,2022-03-27T04:30:00+09:00,valor00001,temperature,10.72
1648155600000,2022-03-27T05:00:00+09:00,valor00001,temperature,10.18
1648155600000,2022-03-27T05:30:00+09:00,valor00001,temperature,9.82
1648155600000,2022-03-27T06:00:00+09:00,valor00001,temperature,9.45
1648155600000,2022-03-27T06:30:00+09:00,valor00001,temperature,9.41
1648155600000,2022-03-27T07:00:00+09:00,valor00001,temperature,9.36
1648155600000,2022-03-27T07:30:00+09:00,valor00001,temperature,9.58
1648155600000,2022-03-27T08:00:00+09:00,valor00001,temperature,9.8
1648155600000,2022-03-27T08:30:00+09:00,valor00001,temperature,10.2
1648155600000,2022-03-27T09:00:00+09:00,valor00001,temperature,10.6
1648155600000,2022-03-27T09:30:00+09:00,valor00001,temperature,11.03
1648155600000,2022-03-27T10:00:00+09:00,valor00001,temperature,11.46
1648155600000,2022-03-27T10:30:00+09:00,valor00001,temperature,11.97
1648155600000,2022-03-27T11:00:00+09:00,valor00001,temperature,12.48
1648155600000,2022-03-27T11:30:00+09:00,valor00001,temperature,13.12
1648155600000,2022-03-27T12:00:00+09:00,valor00001,temperature,13.75
1648155600000,2022-03-27T12:30:00+09:00,valor00001,temperature,14.17
1648155600000,2022-03-27T13:00:00+09:00,valor00001,temperature,14.59
1648155600000,2022-03-27T13:30:00+09:00,valor00001,temperature,14.85
1648155600000,2022-03-27T14:00:00+09:00,valor00001,temperature,15.11
1648155600000,2022-03-27T14:30:00+09:00,valor00001,temperature,15.03
1648155600000,2022-03-27T15:00:00+09:00,valor00001,temperature,14.95
1648155600000,2022-03-27T15:30:00+09:00,valor00001,temperature,14.57
1648155600000,2022-03-27T16:00:00+09:00,valor00001,temperature,14.19
1648155600000,2022-03-27T16:30:00+09:00,valor00001,temperature,13.59
1648155600000,2022-03-27T17:00:00+09:00,valor00001,temperature,12.99
1648155600000,2022-03-27T17:30:00+09:00,valor00001,temperature,12.16
1648155600000,2022-03-27T18:00:00+09:00,valor00001,temperature,11.33
1648155600000,2022-03-27T18:30:00+09:00,valor00001,temperature,10.69
1648155600000,2022-03-27T19:00:00+09:00,valor00001,temperature,10.06
1648155600000,2022-03-27T19:30:00+09:00,valor00001,temperature,9.5
1648155600000,2022-03-27T20:00:00+09:00,valor00001,temperature,8.94
1648155600000,2022-03-27T20:30:00+09:00,valor00001,temperature,8.38
1648155600000,2022-03-27T21:00:00+09:00,valor00001,temperature,7.82
1648155600000,2022-03-27T21:30:00+09:00,valor00001,temperature,7.21
1648155600000,2022-03-27T22:00:00+09:00,valor00001,temperature,6.6
1648155600000,2022-03-27T22:30:00+09:00,valor00001,temperature,6.11
1648155600000,2022-03-27T23:00:00+09:00,valor00001,temperature,5.61
1648155600000,2022-03-27T23:30:00+09:00,valor00001,temperature,5.38
1648242000000,2022-03-28T00:00:00+09:00,valor00001,temperature,6.14
1648242000000,2022-03-28T00:30:00+09:00,valor00001,temperature,6.91
1648242000000,2022-03-28T01:00:00+09:00,valor00001,temperature,7.68
1648242000000,2022-03-28T01:30:00+09:00,valor00001,temperature,8.19
1648242000000,2022-03-28T02:00:00+09:00,valor00001,temperature,8.71
1648242000000,2022-03-28T02:30:00+09:00,valor00001,temperature,8.53
1648242000000,2022-03-28T03:00:00+09:00,valor00001,temperature,8.34
1648242000000,2022-03-28T03:30:00+09:00,valor00001,temperature,7.83
1648242000000,2022-03-28T04:00:00+09:00,valor00001,temperature,7.32
1648242000000,2022-03-28T04:30:00+09:00,valor00001,temperature,6.97
1648242000000,2022-03-28T05:00:00+09:00,valor00001,temperature,6.63
1648242000000,2022-03-28T05:30:00+09:00,valor00001,temperature,6.44
1648242000000,2022-03-28T06:00:00+09:00,valor00001,temperature,6.25
1648242000000,2022-03-28T06:30:00+09:00,valor00001,temperature,6.3
1648242000000,2022-03-28T07:00:00+09:00,valor00001,temperature,6.34
1648242000000,2022-03-28T07:30:00+09:00,valor00001,temperature,6.82
1648242000000,2022-03-28T08:00:00+09:00,valor00001,temperature,7.29
1648242000000,2022-03-28T08:30:00+09:00,valor00001,temperature,7.9
1648242000000,2022-03-28T09:00:00+09:00,valor00001,temperature,8.51
1648242000000,2022-03-28T09:30:00+09:00,valor00001,temperature,9.1
1648242000000,2022-03-28T10:00:00+09:00,valor00001,temperature,9.68
1648242000000,2022-03-28T10:30:00+09:00,valor00001,temperature,10.15
1648242000000,2022-03-28T11:00:00+09:00,valor00001,temperature,10.62
1648242000000,2022-03-28T11:30:00+09:00,valor00001,temperature,10.91
1648242000000,2022-03-28T12:00:00+09:00,valor00001,temperature,11.2
1648242000000,2022-03-28T12:30:00+09:00,valor00001,temperature,11.27
1648242000000,2022-03-28T13:00:00+09:00,valor00001,temperature,11.34
1648242000000,2022-03-28T13:30:00+09:00,valor00001,temperature,11.28
1648242000000,2022-03-28T14:00:00+09:00,valor00001,temperature,11.23
1648242000000,2022-03-28T14:30:00+09:00,valor00001,temperature,11.06
1648242000000,2022-03-28T15:00:00+09:00,valor00001,temperature,10.9
1648242000000,2022-03-28T15:30:00+09:00,valor00001,temperature,10.51
1648242000000,2022-03-28T16:00:00+09:00,valor00001,temperature,10.12
1648242000000,2022-03-28T16:30:00+09:00,valor00001,temperature,9.58
1648242000000,2022-03-28T17:00:00+09:00,valor00001,temperature,9.04
1648242000000,2022-03-28T17:30:00+09:00,valor00001,temperature,8.33
1648242000000,2022-03-28T18:00:00+09:00,valor00001,temperature,7.62
1648242000000,2022-03-28T18:30:00+09:00,valor00001,temperature,7.12
1648242000000,2022-03-28T19:00:00+09:00,valor00001,temperature,6.63
1648242000000,2022-03-28T19:30:00+09:00,valor00001,temperature,6.32
1648242000000,2022-03-28T20:00:00+09:00,valor00001,temperature,6.01
1648242000000,2022-03-28T20:30:00+09:00,valor00001,temperature,5.77
1648242000000,2022-03-28T21:00:00+09:00,valor00001,temperature,5.53
1648242000000,2022-03-28T21:30:00+09:00,valor00001,temperature,5.26
1648242000000,2022-03-28T22:00:00+09:00,valor00001,temperature,5
1648242000000,2022-03-28T22:30:00+09:00,valor00001,temperature,4.71
1648242000000,2022-03-28T23:00:00+09:00,valor00001,temperature,4.41
1648242000000,2022-03-28T23:30:00+09:00,valor00001,temperature,4.14
1648328400000,2022-03-29T00:00:00+09:00,valor00001,temperature,3.62
1648328400000,2022-03-29T00:30:00+09:00,valor00001,temperature,3.5
1648328400000,2022-03-29T01:00:00+09:00,valor00001,temperature,3.39
1648328400000,2022-03-29T01:30:00+09:00,valor00001,temperature,3.27
1648328400000,2022-03-29T02:00:00+09:00,valor00001,temperature,3.15
1648328400000,2022-03-29T02:30:00+09:00,valor00001,temperature,2.9
1648328400000,2022-03-29T03:00:00+09:00,valor00001,temperature,2.66
1648328400000,2022-03-29T03:30:00+09:00,valor00001,temperature,2.53
1648328400000,2022-03-29T04:00:00+09:00,valor00001,temperature,2.4
1648328400000,2022-03-29T04:30:00+09:00,valor00001,temperature,2.3
1648328400000,2022-03-29T05:00:00+09:00,valor00001,temperature,2.2
1648328400000,2022-03-29T05:30:00+09:00,valor00001,temperature,2.25
1648328400000,2022-03-29T06:00:00+09:00,valor00001,temperature,2.3
1648328400000,2022-03-29T06:30:00+09:00,valor00001,temperature,3.28
1648328400000,2022-03-29T07:00:00+09:00,valor00001,temperature,4.25
1648328400000,2022-03-29T07:30:00+09:00,valor00001,temperature,5.85
1648328400000,2022-03-29T08:00:00+09:00,valor00001,temperature,7.45
1648328400000,2022-03-29T08:30:00+09:00,valor00001,temperature,8.5
1648328400000,2022-03-29T09:00:00+09:00,valor00001,temperature,9.56
1648328400000,2022-03-29T09:30:00+09:00,valor00001,temperature,10.33
1648328400000,2022-03-29T10:00:00+09:00,valor00001,temperature,11.11
1648328400000,2022-03-29T10:30:00+09:00,valor00001,temperature,11.74
1648328400000,2022-03-29T11:00:00+09:00,valor00001,temperature,12.38
1648328400000,2022-03-29T11:30:00+09:00,valor00001,temperature,12.93
1648328400000,2022-03-29T12:00:00+09:00,valor00001,temperature,13.48
1648328400000,2022-03-29T12:30:00+09:00,valor00001,temperature,13.72
1648328400000,2022-03-29T13:00:00+09:00,valor00001,temperature,13.96
