"location","time","solar","power","surplus","demand","insolation","temperature","count_solar","count_power","count_surplus"
yaoko00006,1622505600000,0,43.095,0,43.095,,,30,30,30
yaoko00006,1622507400000,0,43.653,0,43.653,,,30,30,30
yaoko00006,1622509200000,0,38.02,0,38.02,,,30,30,30
yaoko00006,1622511000000,0,1.28,0,1.28,,,1,1,1
yaoko00006,1622529000000,4.889,12.922,0,17.811,,,9,9,9
yaoko00006,1622530800000,24.556,52.308,0,76.864,,,30,30,30
yaoko00006,1622532600000,32.162,54.55,0,86.712,,,30,30,30
yaoko00006,1622534400000,38.247,45.061,0,83.308,,,30,30,30
yaoko00006,1622536200000,39.643,43.364,0,83.007,,,30,30,30
yaoko00006,1622538000000,42.41,45.927,0,88.337,,,30,30,30
yaoko00006,1622539800000,47.95,47.681,0,95.631,,,30,30,30
yaoko00006,1622541600000,48.973,40.505,0,89.478,,,30,30,30
yaoko00006,1622543400000,49.068,44.174,0,93.242,,,30,30,30
yaoko00006,1622545200000,41.146,51.202,0,92.348,,,30,30,30
yaoko00006,1622547000000,48.145,48.663,0,96.808,,,30,30,30
yaoko00006,1622548800000,38.852,53.306,0,92.158,,,30,30,30
yaoko00006,1622550600000,42.81,54.916,0,97.726,,,30,30,30
yaoko00006,1622552400000,46.094,43.413,0,89.507,,,30,30,30
yaoko00006,1622554200000,46.565,52.435,0,99,,,30,30,30
yaoko00006,1622556000000,27.423,68.449,0,95.872,,,30,30,30
yaoko00006,1622557800000,15.395,73.404,0,88.799,,,30,30,30
yaoko00006,1622559600000,15.134,73.747,0,88.881,,,30,30,30
yaoko00006,1622561400000,15.64,75.281,0,90.921,,,30,30,30
yaoko00006,1622563200000,10.614,77.242,0,87.856,,,30,30,30
yaoko00006,1622565000000,8.249,81.184,0,89.433,,,30,30,30
yaoko00006,1622566800000,3.623,84.081,0,87.704,,,30,30,30
yaoko00006,1622568600000,1.664,84.246,0,85.91,,,30,30,30
yaoko00006,1622570400000,0.251,80.914,0,81.165,,,30,30,30
yaoko00006,1622572200000,0.002,86.592,0,86.594,,,30,30,30
yaoko00006,1622574000000,0,75.443,0,75.443,,,30,30,30
yaoko00006,1622575800000,0,80.664,0,80.664,,,30,30,30
yaoko00006,1622577600000,0,77.355,0,77.355,,,30,30,30
yaoko00006,1622579400000,0,76.522,0,76.522,,,30,30,30
yaoko00006,1622581200000,0,73.573,0,73.573,,,30,30,30
yaoko00006,1622583000000,0,66.532,0,66.532,,,30,30,30
yaoko00006,1622584800000,0,47.128,0,47.128,,,30,30,30
yaoko00006,1622586600000,0,43.669,0,43.669,,,30,30,30
yaoko00006,1622588400000,0,41.038,0,41.038,,,30,30,30
yaoko00006,1622590200000,0,39.185,0,39.185,,,30,30,30
yaoko00006,1622592000000,0,38.111,0,38.111,,,30,30,30
yaoko00006,1622593800000,0,39.61,0,39.61,,,30,30,30
yaoko00006,1622595600000,0,37.025,0,37.025,,,30,30,30
yaoko00006,1622597400000,0,39.635,0,39.635,,,30,30,30
yaoko00006,1622599200000,0,36.914,0,36.914,,,30,30,30
yaoko00006,1622601000000,0,35.671,0,35.671,,,30,30,30
yaoko00006,1622602800000,0,37.558,0,37.558,,,30,30,30
yaoko00006,1622604600000,0,36.764,0,36.764,,,30,30,30
yaoko00006,1622606400000,0,37.997,0,37.997,,,30,30,30
yaoko00006,1622608200000,0.037,42.867,0,42.904,,,30,30,30
yaoko00006,1622610000000,1.565,36.895,0,38.46,,,30,30,30
yaoko00006,1622611800000,2.678,37.066,0,39.744,,,30,30,30
yaoko00006,1622613600000,2.894,53.158,0,56.052,,,30,30,30
yaoko00006,1622615400000,4.795,54.301,0,59.096,,,30,30,30
yaoko00006,1622617200000,5.548,60.049,0,65.597,,,30,30,30
yaoko00006,1622619000000,11.162,76.45,0,87.612,,,30,30,30
yaoko00006,1622620800000,14.614,67.215,0,81.829,,,30,30,30
yaoko00006,1622622600000,20.302,61.033,0,81.335,,,30,30,30
yaoko00006,1622624400000,28.443,61.104,0,89.547,,,30,30,30
yaoko00006,1622626200000,23.771,73.082,0,96.853,,,30,30,30
yaoko00006,1622628000000,24.212,61.45,0,85.662,,,30,30,30
yaoko00006,1622629800000,26.238,68.531,0,94.769,,,30,30,30
yaoko00006,1622631600000,30.241,59.241,0,89.482,,,30,30,30
yaoko00006,1622633400000,29.935,62.416,0,92.351,,,28,28,28
yaoko00006,1622635200000,28.032,67.586,0,95.618,,,30,30,30
yaoko00006,1622637000000,18.207,76.73,0,94.937,,,30,30,30
yaoko00006,1622638800000,22.329,67.971,0,90.3,,,30,30,30
yaoko00006,1622640600000,24.231,67.259,0,91.49,,,30,30,30
yaoko00006,1622642400000,24.167,65.202,0,89.369,,,30,30,30
yaoko00006,1622644200000,23.342,65.571,0,88.913,,,30,30,30
yaoko00006,1622646000000,21.982,69.02,0,91.002,,,30,30,30
yaoko00006,1622647800000,21.754,71.563,0,93.317,,,30,30,30
yaoko00006,1622649600000,20.699,68.559,0,89.258,,,30,30,30
yaoko00006,1622651400000,11.82,83.372,0,95.192,,,30,30,30
yaoko00006,1622653200000,8.856,80.048,0,88.904,,,30,30,30
yaoko00006,1622655000000,4.344,81.242,0,85.586,,,30,30,30
yaoko00006,1622656800000,2.167,80.085,0,82.252,,,30,30,30
yaoko00006,1622658600000,0.208,87.567,0,87.775,,,30,30,30
yaoko00006,1622660400000,0,82.166,0,82.166,,,30,30,30
yaoko00006,1622662200000,0,82.675,0,82.675,,,30,30,30
yaoko00006,1622664000000,0,75.562,0,75.562,,,30,30,30
yaoko00006,1622665800000,0,80.324,0,80.324,,,30,30,30
yaoko00006,1622667600000,0,76.831,0,76.831,,,30,30,30
yaoko00006,1622669400000,0,65.04,0,65.04,,,30,30,30
yaoko00006,1622671200000,0,44.54,0,44.54,,,30,30,30
yaoko00006,1622673000000,0,43.802,0,43.802,,,30,30,30
yaoko00006,1622674800000,0,40.621,0,40.621,,,30,30,30
yaoko00006,1622676600000,0,39.446,0,39.446,,,30,30,30
yaoko00006,1622678400000,0,38.256,0,38.256,,,30,30,30
yaoko00006,1622680200000,0,42.564,0,42.564,,,30,30,30
