"time","datetime","location","element","cloud(%)"
1648155600000,2022-03-27T00:00:00+09:00,yaoko00006,cloud,73
1648155600000,2022-03-27T00:30:00+09:00,yaoko00006,cloud,78
1648155600000,2022-03-27T01:00:00+09:00,yaoko00006,cloud,83
1648155600000,2022-03-27T01:30:00+09:00,yaoko00006,cloud,89
1648155600000,2022-03-27T02:00:00+09:00,yaoko00006,cloud,94
1648155600000,2022-03-27T02:30:00+09:00,yaoko00006,cloud,94
1648155600000,2022-03-27T03:00:00+09:00,yaoko00006,cloud,94
1648155600000,2022-03-27T03:30:00+09:00,yaoko00006,cloud,92
1648155600000,2022-03-27T04:00:00+09:00,yaoko00006,cloud,91
1648155600000,2022-03-27T04:30:00+09:00,yaoko00006,cloud,83
1648155600000,2022-03-27T05:00:00+09:00,yaoko00006,cloud,75
1648155600000,2022-03-27T05:30:00+09:00,yaoko00006,cloud,72
1648155600000,2022-03-27T06:00:00+09:00,yaoko00006,cloud,70
1648155600000,2022-03-27T06:30:00+09:00,yaoko00006,cloud,71
1648155600000,2022-03-27T07:00:00+09:00,yaoko00006,cloud,72
1648155600000,2022-03-27T07:30:00+09:00,yaoko00006,cloud,72
1648155600000,2022-03-27T08:00:00+09:00,yaoko00006,cloud,71
1648155600000,2022-03-27T08:30:00+09:00,yaoko00006,cloud,63
1648155600000,2022-03-27T09:00:00+09:00,yaoko00006,cloud,56
1648155600000,2022-03-27T09:30:00+09:00,yaoko00006,cloud,42
1648155600000,2022-03-27T10:00:00+09:00,yaoko00006,cloud,27
1648155600000,2022-03-27T10:30:00+09:00,yaoko00006,cloud,16
1648155600000,2022-03-27T11:00:00+09:00,yaoko00006,cloud,4
1648155600000,2022-03-27T11:30:00+09:00,yaoko00006,cloud,7
1648155600000,2022-03-27T12:00:00+09:00,yaoko00006,cloud,9
1648155600000,2022-03-27T12:30:00+09:00,yaoko00006,cloud,14
1648155600000,2022-03-27T13:00:00+09:00,yaoko00006,cloud,19
1648155600000,2022-03-27T13:30:00+09:00,yaoko00006,cloud,27
1648155600000,2022-03-27T14:00:00+09:00,yaoko00006,cloud,35
1648155600000,2022-03-27T14:30:00+09:00,yaoko00006,cloud,42
1648155600000,2022-03-27T15:00:00+09:00,yaoko00006,cloud,50
1648155600000,2022-03-27T15:30:00+09:00,yaoko00006,cloud,50
1648155600000,2022-03-27T16:00:00+09:00,yaoko00006,cloud,51
1648155600000,2022-03-27T16:30:00+09:00,yaoko00006,cloud,50
1648155600000,2022-03-27T17:00:00+09:00,yaoko00006,cloud,49
1648155600000,2022-03-27T17:30:00+09:00,yaoko00006,cloud,44
1648155600000,2022-03-27T18:00:00+09:00,yaoko00006,cloud,40
1648155600000,2022-03-27T18:30:00+09:00,yaoko00006,cloud,42
1648155600000,2022-03-27T19:00:00+09:00,yaoko00006,cloud,44
1648155600000,2022-03-27T19:30:00+09:00,yaoko00006,cloud,47
1648155600000,2022-03-27T20:00:00+09:00,yaoko00006,cloud,50
1648155600000,2022-03-27T20:30:00+09:00,yaoko00006,cloud,57
1648155600000,2022-03-27T21:00:00+09:00,yaoko00006,cloud,63
1648155600000,2022-03-27T21:30:00+09:00,yaoko00006,cloud,70
1648155600000,2022-03-27T22:00:00+09:00,yaoko00006,cloud,76
1648155600000,2022-03-27T22:30:00+09:00,yaoko00006,cloud,78
1648155600000,2022-03-27T23:00:00+09:00,yaoko00006,cloud,81
1648155600000,2022-03-27T23:30:00+09:00,yaoko00006,cloud,80
1648242000000,2022-03-28T00:00:00+09:00,yaoko00006,cloud,75
1648242000000,2022-03-28T00:30:00+09:00,yaoko00006,cloud,66
1648242000000,2022-03-28T01:00:00+09:00,yaoko00006,cloud,57
1648242000000,2022-03-28T01:30:00+09:00,yaoko00006,cloud,48
1648242000000,2022-03-28T02:00:00+09:00,yaoko00006,cloud,39
1648242000000,2022-03-28T02:30:00+09:00,yaoko00006,cloud,23
1648242000000,2022-03-28T03:00:00+09:00,yaoko00006,cloud,7
1648242000000,2022-03-28T03:30:00+09:00,yaoko00006,cloud,33
1648242000000,2022-03-28T04:00:00+09:00,yaoko00006,cloud,59
1648242000000,2022-03-28T04:30:00+09:00,yaoko00006,cloud,79
1648242000000,2022-03-28T05:00:00+09:00,yaoko00006,cloud,100
1648242000000,2022-03-28T05:30:00+09:00,yaoko00006,cloud,71
1648242000000,2022-03-28T06:00:00+09:00,yaoko00006,cloud,43
1648242000000,2022-03-28T06:30:00+09:00,yaoko00006,cloud,32
1648242000000,2022-03-28T07:00:00+09:00,yaoko00006,cloud,21
1648242000000,2022-03-28T07:30:00+09:00,yaoko00006,cloud,21
1648242000000,2022-03-28T08:00:00+09:00,yaoko00006,cloud,21
1648242000000,2022-03-28T08:30:00+09:00,yaoko00006,cloud,18
1648242000000,2022-03-28T09:00:00+09:00,yaoko00006,cloud,15
1648242000000,2022-03-28T09:30:00+09:00,yaoko00006,cloud,19
1648242000000,2022-03-28T10:00:00+09:00,yaoko00006,cloud,22
1648242000000,2022-03-28T10:30:00+09:00,yaoko00006,cloud,23
1648242000000,2022-03-28T11:00:00+09:00,yaoko00006,cloud,24
1648242000000,2022-03-28T11:30:00+09:00,yaoko00006,cloud,28
1648242000000,2022-03-28T12:00:00+09:00,yaoko00006,cloud,32
1648242000000,2022-03-28T12:30:00+09:00,yaoko00006,cloud,40
1648242000000,2022-03-28T13:00:00+09:00,yaoko00006,cloud,47
1648242000000,2022-03-28T13:30:00+09:00,yaoko00006,cloud,50
1648242000000,2022-03-28T14:00:00+09:00,yaoko00006,cloud,53
1648242000000,2022-03-28T14:30:00+09:00,yaoko00006,cloud,57
1648242000000,2022-03-28T15:00:00+09:00,yaoko00006,cloud,61
1648242000000,2022-03-28T15:30:00+09:00,yaoko00006,cloud,62
1648242000000,2022-03-28T16:00:00+09:00,yaoko00006,cloud,63
1648242000000,2022-03-28T16:30:00+09:00,yaoko00006,cloud,54
1648242000000,2022-03-28T17:00:00+09:00,yaoko00006,cloud,46
1648242000000,2022-03-28T17:30:00+09:00,yaoko00006,cloud,55
1648242000000,2022-03-28T18:00:00+09:00,yaoko00006,cloud,63
1648242000000,2022-03-28T18:30:00+09:00,yaoko00006,cloud,67
1648242000000,2022-03-28T19:00:00+09:00,yaoko00006,cloud,70
1648242000000,2022-03-28T19:30:00+09:00,yaoko00006,cloud,67
1648242000000,2022-03-28T20:00:00+09:00,yaoko00006,cloud,64
1648242000000,2022-03-28T20:30:00+09:00,yaoko00006,cloud,66
1648242000000,2022-03-28T21:00:00+09:00,yaoko00006,cloud,69
1648242000000,2022-03-28T21:30:00+09:00,yaoko00006,cloud,70
1648242000000,2022-03-28T22:00:00+09:00,yaoko00006,cloud,71
1648242000000,2022-03-28T22:30:00+09:00,yaoko00006,cloud,68
1648242000000,2022-03-28T23:00:00+09:00,yaoko00006,cloud,64
1648242000000,2022-03-28T23:30:00+09:00,yaoko00006,cloud,62
1648328400000,2022-03-29T00:00:00+09:00,yaoko00006,cloud,46
