"time","datetime","location","element","temperature(℃)"
1648155600000,2022-03-27T00:00:00+09:00,yaoko00006,temperature,16.46
1648155600000,2022-03-27T00:30:00+09:00,yaoko00006,temperature,16.46
1648155600000,2022-03-27T01:00:00+09:00,yaoko00006,temperature,16.46
1648155600000,2022-03-27T01:30:00+09:00,yaoko00006,temperature,16.35
1648155600000,2022-03-27T02:00:00+09:00,yaoko00006,temperature,16.24
1648155600000,2022-03-27T02:30:00+09:00,yaoko00006,temperature,16.06
1648155600000,2022-03-27T03:00:00+09:00,yaoko00006,temperature,15.87
1648155600000,2022-03-27T03:30:00+09:00,yaoko00006,temperature,15.6
1648155600000,2022-03-27T04:00:00+09:00,yaoko00006,temperature,15.33
1648155600000,2022-03-27T04:30:00+09:00,yaoko00006,temperature,15.04
1648155600000,2022-03-27T05:00:00+09:00,yaoko00006,temperature,14.74
1648155600000,2022-03-27T05:30:00+09:00,yaoko00006,temperature,14.5
1648155600000,2022-03-27T06:00:00+09:00,yaoko00006,temperature,14.27
1648155600000,2022-03-27T06:30:00+09:00,yaoko00006,temperature,14.43
1648155600000,2022-03-27T07:00:00+09:00,yaoko00006,temperature,14.59
1648155600000,2022-03-27T07:30:00+09:00,yaoko00006,temperature,15.52
1648155600000,2022-03-27T08:00:00+09:00,yaoko00006,temperature,16.46
1648155600000,2022-03-27T08:30:00+09:00,yaoko00006,temperature,17.57
1648155600000,2022-03-27T09:00:00+09:00,yaoko00006,temperature,18.69
1648155600000,2022-03-27T09:30:00+09:00,yaoko00006,temperature,19.59
1648155600000,2022-03-27T10:00:00+09:00,yaoko00006,temperature,20.49
1648155600000,2022-03-27T10:30:00+09:00,yaoko00006,temperature,21.16
1648155600000,2022-03-27T11:00:00+09:00,yaoko00006,temperature,21.84
1648155600000,2022-03-27T11:30:00+09:00,yaoko00006,temperature,22.25
1648155600000,2022-03-27T12:00:00+09:00,yaoko00006,temperature,22.66
1648155600000,2022-03-27T12:30:00+09:00,yaoko00006,temperature,22.89
1648155600000,2022-03-27T13:00:00+09:00,yaoko00006,temperature,23.12
1648155600000,2022-03-27T13:30:00+09:00,yaoko00006,temperature,23.09
1648155600000,2022-03-27T14:00:00+09:00,yaoko00006,temperature,23.06
1648155600000,2022-03-27T14:30:00+09:00,yaoko00006,temperature,22.8
1648155600000,2022-03-27T15:00:00+09:00,yaoko00006,temperature,22.55
1648155600000,2022-03-27T15:30:00+09:00,yaoko00006,temperature,22.19
1648155600000,2022-03-27T16:00:00+09:00,yaoko00006,temperature,21.83
1648155600000,2022-03-27T16:30:00+09:00,yaoko00006,temperature,21.11
1648155600000,2022-03-27T17:00:00+09:00,yaoko00006,temperature,20.38
1648155600000,2022-03-27T17:30:00+09:00,yaoko00006,temperature,18.99
1648155600000,2022-03-27T18:00:00+09:00,yaoko00006,temperature,17.59
1648155600000,2022-03-27T18:30:00+09:00,yaoko00006,temperature,16.91
1648155600000,2022-03-27T19:00:00+09:00,yaoko00006,temperature,16.22
1648155600000,2022-03-27T19:30:00+09:00,yaoko00006,temperature,15.74
1648155600000,2022-03-27T20:00:00+09:00,yaoko00006,temperature,15.26
1648155600000,2022-03-27T20:30:00+09:00,yaoko00006,temperature,14.88
1648155600000,2022-03-27T21:00:00+09:00,yaoko00006,temperature,14.51
1648155600000,2022-03-27T21:30:00+09:00,yaoko00006,temperature,14.23
1648155600000,2022-03-27T22:00:00+09:00,yaoko00006,temperature,13.95
1648155600000,2022-03-27T22:30:00+09:00,yaoko00006,temperature,13.73
1648155600000,2022-03-27T23:00:00+09:00,yaoko00006,temperature,13.51
1648155600000,2022-03-27T23:30:00+09:00,yaoko00006,temperature,13.29
1648242000000,2022-03-28T00:00:00+09:00,yaoko00006,temperature,12.2
1648242000000,2022-03-28T00:30:00+09:00,yaoko00006,temperature,11.96
1648242000000,2022-03-28T01:00:00+09:00,yaoko00006,temperature,11.72
1648242000000,2022-03-28T01:30:00+09:00,yaoko00006,temperature,11.27
1648242000000,2022-03-28T02:00:00+09:00,yaoko00006,temperature,10.82
1648242000000,2022-03-28T02:30:00+09:00,yaoko00006,temperature,10.31
1648242000000,2022-03-28T03:00:00+09:00,yaoko00006,temperature,9.81
1648242000000,2022-03-28T03:30:00+09:00,yaoko00006,temperature,9.27
1648242000000,2022-03-28T04:00:00+09:00,yaoko00006,temperature,8.74
1648242000000,2022-03-28T04:30:00+09:00,yaoko00006,temperature,8.09
1648242000000,2022-03-28T05:00:00+09:00,yaoko00006,temperature,7.44
1648242000000,2022-03-28T05:30:00+09:00,yaoko00006,temperature,7.37
1648242000000,2022-03-28T06:00:00+09:00,yaoko00006,temperature,7.29
